river_position,collection_date,easting ,northing ,elevation_m ,site_code,group,seed_ID,mass_g,mass_mg
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD01m,0.022,22
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD02m,0.0123,12.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD03m,0.03,30
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD04m,0.0246,24.6
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD05m,0.0183,18.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD06m,0.0132,13.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD07m,0.0166,16.6
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD08m,0.0252,25.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD09m,0.0254,25.4
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp01,C1A_G1_SD10m,0.0243,24.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD01m,0.0062,6.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD02m,0.0147,14.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD03m,0.0172,17.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD04m,0.0162,16.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD05m,0.0205,20.5
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD06m,0.0187,18.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD07m,0.0153,15.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD08m,0.0159,15.9
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD09m,0.0168,16.8
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp02,C1A_G2_SD10m,0.0131,13.1
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD01m,0.0251,25.1
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD02m,0.021,21
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD03m,0.0182,18.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD04m,0.0169,16.9
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD05m,0.0143,14.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD06m,0.0157,15.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD07m,0.0162,16.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD08m,0.0166,16.6
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD09m,0.0131,13.1
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp03,C1A_G3_SD10m,0.0119,11.9
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD01m,0.0167,16.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD02m,0.0268,26.8
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD03m,0.0184,18.4
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD04m,0.0187,18.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD05m,0.0132,13.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD06m,0.0211,21.1
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD07m,0.0162,16.2
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD08m,0.0166,16.6
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD09m,0.0156,15.6
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp04,C1A_G4_SD10m,0.0098,9.8
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp05,C1A_G5_SD01m,0.0191,19.1
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp05,C1A_G5_SD02m,0.0185,18.5
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp05,C1A_G5_SD03m,0.0193,19.3
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp05,C1A_G5_SD04m,0.0197,19.7
upper_calder,16/08/2023,399000,428900,138,C1A,C1A_grp05,C1A_G5_SD05m,0.0221,22.1
