river,group,length,width,circularity,solidity,area
upper_calder,C1A_grp01,2.201333333,1.481666667,0.59843257,0.916830386,118.5333333
upper_calder,C1A_grp01,2.307166667,1.905,0.62787384,0.934791581,143.8275
upper_calder,C1A_grp01,2.159,1.672166667,0.560353926,0.891238671,124.8833333
upper_calder,C1A_grp01,2.243666667,1.481666667,0.404383288,0.881045752,114.1306667
upper_calder,C1A_grp01,2.561166667,1.989666667,0.715956519,0.942267563,172.0426667
upper_calder,C1A_grp01,1.693333333,1.27,0.387156147,0.777604977,63.5
upper_calder,C1A_grp01,2.624666667,1.947333333,0.696014297,0.942336524,172.9528333
upper_calder,C1A_grp01,2.391833333,1.608666667,0.507315933,0.894281021,126.7671667
upper_calder,C1A_grp01,2.878666667,1.947333333,0.660926295,0.957368244,181.102
upper_calder,C1A_grp01,1.905,1.375833333,0.519688354,0.894852618,86.106
upper_calder,C1A_grp02,4.445,3.640666667,0.479919574,0.9421673,524.4888333
upper_calder,C1A_grp02,3.8735,3.767666667,0.424687021,0.9006762,515.9375
upper_calder,C1A_grp02,3.534833333,4.614333333,0.652025633,0.940328105,552.0266667
upper_calder,C1A_grp02,4.720166667,2.561166667,0.612221599,0.952948039,414.9725
upper_calder,C1A_grp02,3.026833333,3.8735,0.545132094,0.931151861,358.9866667
upper_calder,C1A_grp02,4.783666667,3.450166667,0.40459607,0.878928813,496.0196667
upper_calder,C1A_grp02,4.148666667,3.344333333,0.777022771,0.962220509,475.488
upper_calder,C1A_grp02,3.3655,2.286,0.714769906,0.958825459,247.4383333
upper_calder,C1A_grp02,4.868333333,2.942166667,0.634619179,0.944094284,462.8938333
upper_calder,C1A_grp02,4.6355,3.534833333,0.449088653,0.942992161,532.1935
upper_calder,C1A_grp03,4.191,3.048,0.484367538,0.938036091,423.6085
upper_calder,C1A_grp03,4.572,3.471333333,0.449595892,0.922015915,551.815
upper_calder,C1A_grp03,4.931833333,3.683,0.606862252,0.952731127,608.7956667
upper_calder,C1A_grp03,4.106333333,3.4925,0.543388485,0.951276195,502.5178333
upper_calder,C1A_grp03,4.3815,3.344333333,0.644824191,0.945769032,504.6133333
upper_calder,C1A_grp03,4.593166667,3.196166667,0.631686283,0.944275706,493.5431667
upper_calder,C1A_grp03,3.598333333,2.497666667,0.653602765,0.943058855,302.5351667
upper_calder,C1A_grp03,4.847166667,3.788833333,0.674725459,0.946818804,600.6888333
upper_calder,C1A_grp03,3.937,4.042833333,0.48931485,0.934026746,532.2146667
upper_calder,C1A_grp03,4.826,2.836333333,0.473958815,0.914678511,457.6868333
upper_calder,C1A_grp04,3.767666667,2.688166667,0.436132014,0.917056075,332.3166667
upper_calder,C1A_grp04,4.8895,2.836333333,0.548187114,0.904288861,443.1665
upper_calder,C1A_grp04,4.826,3.132666667,0.681348014,0.974474947,524.4465
upper_calder,C1A_grp04,5.037666667,3.323166667,0.509463811,0.943116061,548.513
upper_calder,C1A_grp04,4.826,3.302,0.630188153,0.936630603,538.734
upper_calder,C1A_grp04,4.783666667,3.090333333,0.729951892,0.959646442,491.7863333
upper_calder,C1A_grp04,4.572,3.048,0.43029281,0.923076923,466.09
upper_calder,C1A_grp04,5.207,3.767666667,0.523870513,0.925660322,663.9136667
upper_calder,C1A_grp04,4.699,3.153833333,0.673701671,0.958366632,533.0401667
upper_calder,C1A_grp04,3.979333333,2.815166667,0.671394756,0.940166582,351.2185
upper_calder,C1A_grp05,4.318,3.217333333,0.465678836,0.888294344,425.1748333
upper_calder,C1A_grp05,5.1435,3.661833333,0.606077069,0.939967992,609.1555
upper_calder,C1A_grp05,4.826,3.534833333,0.637840382,0.93653208,573.4473333
upper_calder,C1A_grp05,4.7625,3.196166667,0.616677523,0.951982003,519.5146667
upper_calder,C1A_grp05,4.487333333,2.878666667,0.72659734,0.966264623,451.0616667
upper_calder,C1A_grp05,4.741333333,3.153833333,0.619264442,0.953197746,494.03
upper_calder,C1A_grp05,5.0165,3.683,0.59926154,0.949289994,607.0388333
upper_calder,C1A_grp05,4.826,3.894666667,0.634334072,0.949926177,640.0588333
upper_calder,C1A_grp05,3.556,4.6355,0.289812464,0.881850885,529.2513333
upper_calder,C1A_grp05,3.661833333,3.280833333,0.572061298,0.931450076,413.8718333
upper_calder,C1A_grp06,4.804833333,3.217333333,0.438662955,0.943058127,539.1573333
upper_calder,C1A_grp06,4.6355,3.450166667,0.393765409,0.910370121,514.9003333
upper_calder,C1A_grp06,4.931833333,3.598333333,0.566220826,0.951798234,620.6701667
upper_calder,C1A_grp06,4.296833333,2.688166667,0.704034045,0.967010945,398.3355
upper_calder,C1A_grp06,4.296833333,3.323166667,0.617501589,0.947955082,484.2298333
upper_calder,C1A_grp06,4.466166667,3.280833333,0.539946734,0.919560688,448.3735
upper_calder,C1A_grp06,4.2545,3.556,0.506771966,0.914765205,497.2685
upper_calder,C1A_grp06,5.122333333,3.704166667,0.51683708,0.950360366,619.6118333
upper_calder,C1A_grp06,5.3975,3.386666667,0.487098704,0.883499828,542.8826667
upper_calder,C1A_grp06,4.572,3.3655,0.567438916,0.905085919,498.348
upper_calder,C1A_grp07,5.058833333,2.709333333,0.545748109,0.948121503,502.1156667
